user_id,country,monthly_income,monthly_expenses,savings,risk_level,goal
1267,South Africa,241,122,140,low,start a small business
1268,Nigeria,67,51,51,medium,buy land
1269,Kenya,268,174,98,low,start a small business
1270,South Africa,59,33,50,medium,buy land
1271,Kenya,141,96,58,low,save for emergencies
1272,Nigeria,214,153,96,high,start a small business
1273,South Africa,68,49,40,low,start a small business
1274,Ghana,242,174,88,medium,invest in farming
1275,South Africa,270,150,150,high,invest in farming
1276,Uganda,231,146,118,low,buy land
1277,Nigeria,284,267,25,low,save for emergencies
1278,South Africa,168,93,96,low,save for emergencies
1279,Ghana,77,62,35,low,educate children
1280,Ghana,131,113,18,low,buy land
1281,Nigeria,220,198,57,low,educate children
1282,Uganda,110,95,38,high,buy land
1283,Nigeria,223,125,129,high,educate children
1284,Nigeria,227,113,160,high,invest in farming
1285,South Africa,196,154,58,medium,save for emergencies
1286,South Africa,280,180,128,high,educate children
1287,Ghana,102,63,44,high,start a small business
1288,Kenya,291,228,65,medium,buy land
1289,South Africa,92,57,82,high,buy land
1290,Nigeria,204,156,48,low,buy land
1291,South Africa,129,95,65,medium,buy land
1292,Nigeria,157,145,29,medium,start a small business
1293,Kenya,72,55,51,low,invest in farming
1294,Uganda,107,85,35,medium,buy land
1295,Nigeria,191,155,39,medium,start a small business
1296,South Africa,245,180,93,low,educate children
1297,Kenya,197,180,17,high,start a small business
1298,Ghana,42,36,40,high,invest in farming
1299,South Africa,176,163,28,low,start a small business
1300,Ghana,72,45,51,medium,save for emergencies
1301,Kenya,177,155,65,medium,save for emergencies
1302,South Africa,180,91,110,medium,invest in farming
1303,Uganda,36,31,7,medium,buy land
1304,South Africa,143,86,75,medium,invest in farming
1305,Kenya,208,185,38,medium,start a small business
1306,Uganda,153,87,76,low,educate children
1307,Uganda,169,100,74,low,save for emergencies
1308,Nigeria,126,67,86,high,start a small business
1309,Ghana,98,81,66,medium,invest in farming
1310,Kenya,48,28,21,medium,buy land
1311,Ghana,76,41,67,medium,buy land
1312,Nigeria,170,138,38,low,educate children
1313,Ghana,108,76,45,low,start a small business
1314,Nigeria,244,140,132,high,buy land
1315,Ghana,277,157,148,high,start a small business
1316,Ghana,231,171,67,high,save for emergencies
1317,South Africa,247,184,91,medium,educate children
1318,South Africa,231,131,101,low,educate children
1319,Kenya,35,26,13,medium,invest in farming
1320,Uganda,198,167,48,medium,start a small business
1321,Uganda,248,172,87,low,invest in farming
1322,South Africa,100,52,57,high,invest in farming
1323,Uganda,127,87,74,low,save for emergencies
1324,Ghana,237,119,141,medium,invest in farming
1325,South Africa,103,88,36,high,buy land
1326,Nigeria,183,133,88,high,invest in farming
1327,Kenya,248,152,142,medium,start a small business
1328,Nigeria,259,148,137,low,buy land
1329,Nigeria,70,56,33,high,buy land
1330,South Africa,137,86,70,high,educate children
1331,Nigeria,163,107,65,low,invest in farming
1332,Nigeria,102,83,50,low,start a small business
1333,South Africa,77,43,74,high,start a small business
1334,Uganda,129,65,92,medium,buy land
1335,Nigeria,94,65,54,medium,start a small business
1336,Kenya,295,199,110,low,save for emergencies
1337,Ghana,179,139,87,medium,start a small business
1338,Kenya,277,159,153,medium,start a small business
1339,South Africa,127,92,59,low,buy land
1340,Kenya,97,54,91,high,educate children
1341,Nigeria,166,118,66,high,save for emergencies
1342,Uganda,167,118,57,medium,start a small business
1343,Ghana,266,178,129,medium,save for emergencies
1344,South Africa,291,218,122,high,start a small business
1345,Ghana,83,75,28,medium,invest in farming
1346,Kenya,156,102,81,medium,buy land
1347,Kenya,161,106,80,low,invest in farming
1348,South Africa,277,229,64,high,buy land
1349,Nigeria,72,60,52,medium,educate children
1350,South Africa,199,148,70,medium,save for emergencies
1351,Ghana,197,136,109,high,save for emergencies
1352,Uganda,274,159,161,medium,save for emergencies
1353,Uganda,76,70,51,medium,buy land
1354,South Africa,98,91,54,high,educate children
1355,Uganda,232,176,105,low,invest in farming
1356,Uganda,190,169,36,low,start a small business
1357,Kenya,123,108,24,medium,invest in farming
1358,Ghana,67,51,51,high,start a small business
1359,Kenya,106,98,10,low,save for emergencies
1360,Ghana,120,105,22,low,start a small business
1361,Nigeria,208,184,32,high,start a small business
1362,Uganda,136,92,82,medium,buy land
1363,Nigeria,211,141,78,low,educate children
1364,Ghana,85,62,24,high,save for emergencies
1365,Kenya,87,80,46,low,start a small business
1366,Nigeria,143,130,55,high,invest in farming
1367,Kenya,66,47,46,high,save for emergencies
1368,Nigeria,47,24,44,medium,buy land
1369,Uganda,168,141,39,medium,save for emergencies
1370,South Africa,289,204,127,medium,educate children
1371,Nigeria,117,61,83,low,start a small business
1372,Kenya,236,118,120,medium,buy land
1373,Nigeria,271,255,16,high,buy land
1374,Uganda,131,102,49,low,invest in farming
1375,Nigeria,162,101,110,high,invest in farming
1376,Ghana,138,115,42,high,invest in farming
1377,South Africa,112,90,25,high,educate children
1378,South Africa,98,49,52,high,educate children
1379,Nigeria,169,143,52,medium,buy land
1380,South Africa,263,153,134,high,educate children
1381,Ghana,90,68,46,high,start a small business
1382,South Africa,266,187,124,medium,save for emergencies
1383,Uganda,61,52,40,medium,start a small business
1384,Uganda,65,45,61,medium,start a small business
1385,Nigeria,206,160,84,medium,invest in farming
1386,Ghana,126,111,35,medium,buy land
1387,South Africa,166,88,122,medium,buy land
1388,Uganda,64,38,47,low,buy land
1389,Uganda,147,77,111,high,save for emergencies
1390,Kenya,116,74,53,low,buy land
1391,Uganda,243,193,78,low,save for emergencies
1392,Nigeria,268,170,120,high,save for emergencies
1393,South Africa,170,116,99,high,invest in farming
1394,South Africa,141,92,93,medium,start a small business
1395,Nigeria,276,241,55,high,start a small business
1396,Nigeria,163,98,94,medium,start a small business
1397,Uganda,179,121,87,high,invest in farming
1398,South Africa,238,225,44,high,invest in farming
1399,Nigeria,151,84,113,high,save for emergencies
1400,South Africa,144,107,70,low,save for emergencies
1401,Kenya,230,142,98,low,educate children
1402,South Africa,235,155,126,high,start a small business
1403,Nigeria,275,155,134,high,start a small business
1404,South Africa,181,161,62,low,invest in farming
1405,Kenya,166,129,69,medium,buy land
1406,South Africa,48,26,31,high,save for emergencies
1407,Uganda,204,166,66,high,invest in farming
1408,Kenya,170,85,118,high,start a small business
1409,Kenya,122,108,60,medium,start a small business
1410,Ghana,234,164,118,high,educate children
1411,Nigeria,274,200,102,high,invest in farming
1412,South Africa,157,103,70,medium,invest in farming
1413,Kenya,100,62,42,high,invest in farming
1414,Nigeria,36,27,57,low,buy land
1415,Ghana,132,118,14,medium,invest in farming
1416,Uganda,270,196,90,low,buy land
1417,Kenya,200,124,78,low,start a small business
1418,South Africa,236,146,132,medium,buy land
1419,South Africa,173,110,90,high,educate children
1420,Ghana,102,51,79,low,save for emergencies
1421,Nigeria,115,72,83,medium,invest in farming
1422,Ghana,147,101,64,high,invest in farming
1423,Uganda,176,153,63,medium,educate children
1424,Uganda,168,136,77,high,save for emergencies
1425,Kenya,59,53,45,high,start a small business
1426,Ghana,175,137,85,low,invest in farming
1427,Kenya,223,206,24,high,invest in farming
1428,Uganda,51,30,32,low,save for emergencies
1429,Uganda,268,190,117,high,start a small business
1430,South Africa,249,180,117,medium,invest in farming
1431,Uganda,202,182,21,low,invest in farming
1432,Ghana,74,51,42,high,save for emergencies
1433,Nigeria,250,230,48,medium,save for emergencies
1434,South Africa,32,21,24,medium,start a small business
1435,Kenya,69,60,12,low,save for emergencies
1436,Nigeria,89,54,65,high,educate children
1437,South Africa,136,99,63,high,invest in farming
1438,South Africa,264,133,179,medium,save for emergencies
1439,Ghana,188,154,48,medium,buy land
1440,Uganda,77,62,50,medium,educate children
1441,Uganda,165,154,47,high,buy land
1442,South Africa,238,217,57,medium,invest in farming
1443,Nigeria,240,183,100,low,educate children
1444,South Africa,58,35,50,medium,educate children
1445,Uganda,294,273,48,high,invest in farming
1446,South Africa,244,216,30,medium,invest in farming
1447,Uganda,93,71,57,medium,save for emergencies
1448,Uganda,274,222,93,low,save for emergencies
1449,Ghana,199,159,52,high,invest in farming
1450,Uganda,296,201,110,medium,start a small business
1451,Nigeria,37,25,51,high,educate children
1452,Uganda,266,191,76,high,educate children
1453,Kenya,123,90,44,medium,buy land
1454,Kenya,167,126,51,high,educate children
1455,South Africa,236,197,55,low,educate children
1456,Kenya,247,124,172,high,buy land
1457,Ghana,175,148,58,high,save for emergencies
1458,South Africa,91,82,55,low,start a small business
1459,South Africa,224,149,77,high,invest in farming
1460,South Africa,251,185,66,high,invest in farming
1461,Kenya,202,128,94,low,buy land
1462,Ghana,139,81,84,medium,start a small business
1463,Kenya,103,89,28,low,start a small business
1464,Uganda,236,121,146,high,start a small business
1465,Kenya,233,148,112,high,start a small business
1466,South Africa,286,179,128,low,invest in farming
1467,South Africa,99,69,61,low,invest in farming
1468,South Africa,192,174,22,high,save for emergencies
1469,Uganda,149,119,79,high,educate children
1470,Uganda,205,107,122,high,invest in farming
1471,Kenya,85,70,21,high,save for emergencies
1472,Nigeria,133,78,92,high,start a small business
1473,Uganda,287,150,147,high,invest in farming
1474,Uganda,211,142,116,medium,start a small business
1475,Ghana,56,47,20,medium,save for emergencies
1476,Uganda,120,91,38,low,educate children
1477,South Africa,192,110,97,medium,buy land
1478,South Africa,282,153,177,low,start a small business
1479,Kenya,216,128,98,medium,invest in farming
1480,South Africa,115,94,51,high,save for emergencies
1481,Kenya,143,119,55,low,save for emergencies
1482,Kenya,212,184,70,low,buy land
1483,South Africa,32,20,32,high,start a small business
1484,Nigeria,154,86,86,medium,invest in farming
1485,Ghana,54,30,52,high,invest in farming
1486,South Africa,48,34,15,high,invest in farming
1487,Nigeria,103,93,34,medium,invest in farming
1488,Kenya,77,56,43,medium,buy land
1489,South Africa,168,138,57,medium,start a small business
1490,Nigeria,226,175,55,medium,buy land
1491,Ghana,80,60,31,high,invest in farming
1492,Nigeria,79,42,85,low,save for emergencies
1493,Ghana,199,182,54,high,start a small business
1494,South Africa,43,31,43,low,start a small business
1495,Kenya,218,126,118,high,invest in farming
1496,Kenya,84,59,47,high,start a small business
1497,Kenya,104,72,75,medium,educate children
1498,Ghana,162,121,65,medium,invest in farming
1499,Ghana,211,178,54,low,buy land
1500,Ghana,93,52,44,low,invest in farming
1501,Uganda,222,125,136,high,educate children
1502,Uganda,243,167,92,high,buy land
1503,Kenya,122,106,29,high,start a small business
1504,South Africa,141,102,81,high,save for emergencies
1505,South Africa,236,129,146,low,buy land
1506,Ghana,147,92,84,low,save for emergencies
1507,Ghana,195,99,123,high,start a small business
1508,Nigeria,213,195,47,high,save for emergencies
1509,South Africa,42,33,10,low,educate children
1510,Ghana,259,194,100,medium,educate children
1511,Uganda,55,37,25,high,educate children
1512,Uganda,179,108,78,high,start a small business
1513,Uganda,58,36,47,low,start a small business
1514,South Africa,238,202,51,medium,save for emergencies
1515,South Africa,264,138,141,high,invest in farming
1516,Nigeria,74,63,33,low,save for emergencies
1517,Ghana,117,66,85,low,save for emergencies
1518,Uganda,208,187,57,medium,save for emergencies
1519,Kenya,263,211,98,medium,save for emergencies
1520,Ghana,252,182,77,high,start a small business
1521,South Africa,236,212,53,high,start a small business
1522,Uganda,260,182,89,low,educate children
1523,Kenya,93,87,35,high,educate children
1524,South Africa,40,21,68,high,start a small business
1525,Uganda,100,93,40,low,start a small business
1526,Ghana,280,159,170,low,start a small business
1527,Kenya,245,131,145,medium,buy land
1528,Uganda,81,54,63,medium,buy land
1529,Uganda,113,58,91,medium,start a small business
1530,Uganda,155,116,46,low,save for emergencies
1531,Nigeria,265,187,100,high,save for emergencies
1532,Nigeria,139,76,91,medium,buy land
1533,South Africa,85,51,72,high,save for emergencies
1534,Nigeria,57,44,48,high,buy land
1535,Ghana,154,89,96,high,save for emergencies
1536,South Africa,65,36,54,high,invest in farming
1537,Ghana,115,60,85,medium,invest in farming
1538,Uganda,195,184,33,low,save for emergencies
1539,Ghana,159,109,60,low,buy land
1540,Uganda,125,66,96,high,start a small business
1541,Ghana,295,274,66,medium,start a small business
1542,Uganda,141,129,34,high,buy land
1543,Kenya,174,151,53,medium,invest in farming
1544,Nigeria,135,119,49,low,start a small business
1545,Uganda,294,168,138,high,start a small business
1546,Nigeria,118,106,29,medium,save for emergencies
1547,Ghana,135,81,68,high,start a small business
1548,Ghana,196,110,102,low,buy land
1549,South Africa,61,38,62,low,educate children
1550,Uganda,177,164,28,low,save for emergencies
1551,Kenya,230,177,64,low,buy land
1552,South Africa,67,51,22,low,invest in farming
1553,South Africa,278,237,88,medium,save for emergencies
1554,Nigeria,47,38,47,low,save for emergencies
1555,Nigeria,225,170,79,low,educate children
1556,Uganda,253,187,105,high,educate children
1557,Kenya,258,134,142,medium,start a small business
1558,Uganda,106,78,41,high,buy land
1559,Nigeria,124,115,12,low,start a small business
1560,Nigeria,68,41,51,high,buy land
1561,Ghana,189,152,74,low,buy land
1562,Kenya,220,147,100,low,start a small business
1563,Uganda,82,70,14,low,buy land
1564,Ghana,160,101,90,high,invest in farming
1565,Uganda,229,185,49,low,save for emergencies
1566,South Africa,235,148,121,medium,educate children
1567,Uganda,285,200,96,high,invest in farming
1568,Kenya,206,161,75,high,start a small business
1569,Nigeria,284,210,98,medium,educate children
1570,Kenya,156,118,68,medium,buy land
1571,Kenya,283,225,77,medium,buy land
1572,South Africa,42,33,50,low,buy land
1573,Nigeria,143,119,43,medium,educate children
1574,Nigeria,234,197,72,high,start a small business
1575,Nigeria,87,50,86,medium,educate children
1576,Uganda,248,232,38,medium,save for emergencies
1577,Kenya,203,172,38,low,invest in farming
1578,Ghana,140,128,24,medium,buy land
1579,Kenya,258,241,44,medium,buy land
1580,Kenya,218,124,95,high,save for emergencies
1581,Kenya,275,218,73,medium,start a small business
1582,Uganda,42,38,32,high,buy land
1583,South Africa,267,226,58,low,buy land
1584,South Africa,298,242,76,high,educate children
1585,Nigeria,141,124,33,high,save for emergencies
1586,South Africa,145,86,67,medium,save for emergencies
1587,Kenya,209,177,75,high,save for emergencies
1588,Uganda,82,63,48,medium,educate children
1589,South Africa,166,136,76,medium,start a small business
1590,Uganda,30,26,38,low,save for emergencies
1591,Kenya,127,78,57,medium,buy land
1592,Uganda,169,140,36,high,save for emergencies
1593,Uganda,101,76,36,medium,save for emergencies
1594,Nigeria,136,107,70,medium,buy land
1595,South Africa,219,119,138,medium,invest in farming
1596,South Africa,200,116,116,medium,save for emergencies
1597,Nigeria,250,209,61,medium,start a small business
1598,Nigeria,85,47,59,medium,start a small business
1599,Ghana,131,101,74,medium,start a small business
1600,South Africa,221,163,65,medium,start a small business
1601,Uganda,262,179,117,low,buy land
1602,Kenya,168,132,56,low,educate children
1603,Ghana,144,73,110,high,start a small business
1604,South Africa,185,108,82,high,save for emergencies
1605,Uganda,176,143,70,high,start a small business
1606,Nigeria,57,29,65,low,buy land
1607,Kenya,148,110,41,high,save for emergencies
1608,South Africa,243,210,81,high,invest in farming
1609,Nigeria,193,153,52,medium,invest in farming
1610,Ghana,87,74,29,medium,save for emergencies
1611,Kenya,134,102,77,high,educate children
1612,Kenya,112,90,67,low,save for emergencies
1613,Nigeria,213,133,80,medium,save for emergencies
1614,Nigeria,239,166,112,low,educate children
1615,Uganda,126,74,59,low,educate children
1616,Kenya,237,121,153,low,start a small business
1617,South Africa,166,98,79,low,buy land
1618,Uganda,171,109,95,low,start a small business
1619,Kenya,96,71,66,low,invest in farming
1620,Ghana,102,76,45,low,invest in farming
1621,South Africa,39,21,41,low,start a small business
1622,Uganda,34,19,41,low,save for emergencies
1623,Uganda,142,85,91,low,buy land
1624,Kenya,134,119,58,medium,buy land
1625,Uganda,204,135,91,low,invest in farming
1626,Uganda,169,87,104,medium,buy land
1627,Nigeria,205,156,96,high,start a small business
1628,Ghana,158,144,43,low,start a small business
1629,South Africa,178,137,62,low,start a small business
1630,South Africa,282,155,172,medium,invest in farming
1631,South Africa,54,47,30,high,buy land
1632,Uganda,99,91,55,low,invest in farming
1633,Uganda,120,77,63,low,save for emergencies
1634,Uganda,256,213,82,high,save for emergencies
1635,Kenya,180,153,29,high,buy land
1636,Kenya,69,51,27,low,buy land
1637,Ghana,209,175,44,high,educate children
1638,Ghana,90,49,85,low,start a small business
1639,Uganda,210,159,87,low,save for emergencies
1640,Uganda,85,79,34,low,start a small business
1641,Kenya,226,185,88,low,start a small business
1642,Nigeria,31,15,55,medium,educate children
1643,Kenya,217,158,88,low,save for emergencies
1644,Nigeria,296,255,52,low,buy land
1645,South Africa,119,71,55,high,educate children
1646,Nigeria,249,217,40,low,save for emergencies
1647,Nigeria,132,96,56,medium,save for emergencies
1648,Ghana,213,139,104,low,invest in farming
1649,Ghana,81,64,28,low,invest in farming
1650,South Africa,69,38,77,high,buy land
1651,Uganda,278,201,118,medium,buy land
1652,Kenya,211,146,85,medium,save for emergencies
1653,Nigeria,238,140,135,low,start a small business
1654,Kenya,128,108,35,high,educate children
1655,Ghana,37,32,21,medium,start a small business
1656,Kenya,46,35,27,medium,save for emergencies
1657,Ghana,195,177,65,medium,save for emergencies
1658,Nigeria,107,97,15,high,buy land
1659,South Africa,192,109,129,high,save for emergencies
1660,Ghana,101,64,63,high,buy land
1661,Kenya,298,208,95,low,buy land
1662,Ghana,226,198,76,low,save for emergencies
1663,Kenya,246,156,115,medium,educate children
1664,Nigeria,34,26,27,medium,educate children
1665,Ghana,227,171,105,high,save for emergencies
1666,Nigeria,175,90,101,medium,save for emergencies
1667,Nigeria,278,152,139,low,buy land
1668,Nigeria,42,27,58,low,start a small business
1669,Uganda,48,34,60,high,invest in farming
1670,Nigeria,129,98,62,high,invest in farming
1671,Uganda,151,122,72,high,invest in farming
1672,Kenya,174,157,59,high,buy land
1673,South Africa,79,39,74,low,invest in farming
1674,South Africa,193,108,90,medium,start a small business
1675,Nigeria,157,91,102,high,buy land
1676,South Africa,268,201,106,low,buy land
1677,Nigeria,216,187,56,medium,buy land
1678,Ghana,219,112,151,high,save for emergencies
1679,South Africa,266,198,98,low,save for emergencies
1680,Uganda,288,167,135,low,start a small business
1681,South Africa,200,130,78,high,educate children
1682,South Africa,74,38,43,medium,save for emergencies
1683,Uganda,100,93,45,low,invest in farming
1684,Ghana,154,133,36,low,educate children
1685,Nigeria,259,146,162,medium,educate children
1686,Uganda,226,205,59,medium,start a small business
1687,Ghana,89,77,54,low,buy land
1688,Nigeria,202,123,83,low,buy land
1689,South Africa,151,78,101,medium,invest in farming
1690,South Africa,35,32,44,high,start a small business
1691,Uganda,175,101,113,medium,save for emergencies
1692,Uganda,125,70,91,low,buy land
1693,Nigeria,231,198,38,medium,save for emergencies
1694,Nigeria,141,125,18,high,buy land
1695,South Africa,135,77,100,high,start a small business
1696,South Africa,125,65,63,high,invest in farming
1697,Ghana,243,190,87,low,save for emergencies
1698,Ghana,51,25,45,medium,save for emergencies
1699,South Africa,179,99,92,high,start a small business
1700,Nigeria,280,245,37,low,invest in farming
1701,Uganda,105,74,44,high,start a small business
1702,Uganda,254,144,158,low,invest in farming
1703,Uganda,280,244,44,medium,save for emergencies
1704,Uganda,231,197,80,high,invest in farming
1705,Ghana,98,71,56,low,invest in farming
1706,Ghana,266,244,68,low,buy land
1707,Uganda,54,36,31,high,start a small business
1708,Nigeria,123,115,48,medium,educate children
1709,South Africa,54,40,48,medium,save for emergencies
1710,Kenya,145,119,59,low,educate children
1711,Nigeria,295,245,60,high,educate children
1712,Nigeria,40,32,14,low,save for emergencies
1713,Uganda,238,182,57,low,educate children
1714,South Africa,150,116,51,low,start a small business
1715,Nigeria,83,51,47,high,educate children
1716,Kenya,270,249,38,medium,educate children
1717,Kenya,216,197,34,high,save for emergencies
1718,Kenya,291,252,81,low,start a small business
1719,Nigeria,268,181,128,medium,invest in farming
1720,Kenya,105,64,44,high,invest in farming
1721,Kenya,275,138,162,medium,buy land
1722,South Africa,108,61,53,high,save for emergencies
1723,Nigeria,220,155,104,medium,start a small business
1724,Nigeria,41,32,51,medium,educate children
1725,Ghana,46,39,42,low,save for emergencies
1726,Uganda,37,22,40,medium,invest in farming
1727,Kenya,237,153,111,low,save for emergencies
1728,Kenya,147,119,39,medium,educate children
1729,Uganda,130,94,58,medium,educate children
1730,Ghana,299,219,124,medium,buy land
1731,Ghana,209,140,97,medium,educate children
1732,Uganda,224,126,133,medium,educate children
1733,Nigeria,135,87,84,medium,buy land
1734,Uganda,56,50,34,high,start a small business
1735,South Africa,177,112,70,high,start a small business
1736,Ghana,193,97,117,medium,buy land
1737,Kenya,253,141,129,low,save for emergencies
1738,Uganda,59,41,36,medium,start a small business
1739,Kenya,63,43,62,low,invest in farming
1740,Nigeria,250,224,47,medium,start a small business
1741,Uganda,209,155,100,high,invest in farming
1742,Ghana,260,244,34,high,save for emergencies
1743,Ghana,67,38,75,high,buy land
1744,Kenya,177,96,112,medium,buy land
1745,Kenya,79,56,27,medium,save for emergencies
1746,Nigeria,155,113,63,low,educate children
1747,Uganda,106,94,20,high,educate children
1748,Ghana,135,97,44,medium,save for emergencies
1749,Uganda,97,66,72,high,educate children
1750,Nigeria,188,128,80,high,start a small business
1751,South Africa,218,139,97,high,start a small business
1752,Nigeria,124,114,41,low,buy land
1753,Ghana,216,117,100,low,start a small business
1754,South Africa,223,170,76,medium,buy land
1755,Uganda,173,101,117,medium,buy land
1756,Nigeria,274,167,149,low,invest in farming
1757,Nigeria,117,58,69,low,invest in farming
1758,Ghana,33,22,36,low,invest in farming
1759,Kenya,124,78,78,medium,start a small business
1760,Nigeria,76,65,52,medium,educate children
1761,Uganda,228,115,154,low,invest in farming
1762,South Africa,289,251,56,high,educate children
1763,Ghana,200,174,70,medium,save for emergencies
1764,Uganda,224,123,103,high,save for emergencies
1765,Kenya,211,170,89,high,buy land
1766,South Africa,173,87,115,high,buy land
1767,Ghana,113,93,47,low,invest in farming
1768,Kenya,125,71,95,medium,educate children
1769,Uganda,254,203,91,low,invest in farming
1770,Kenya,71,49,58,low,save for emergencies
1771,Kenya,275,216,103,high,buy land
1772,Kenya,51,44,56,low,start a small business
1773,Uganda,70,50,53,high,invest in farming
1774,Nigeria,189,159,41,low,buy land
1775,Ghana,102,62,65,medium,start a small business
1776,Nigeria,230,124,137,medium,buy land
1777,Kenya,255,174,100,low,buy land
1778,Ghana,68,61,8,low,start a small business
1779,Nigeria,153,111,65,medium,educate children
1780,Kenya,188,150,51,medium,save for emergencies
1781,Nigeria,223,139,98,medium,buy land
1782,Ghana,41,24,44,low,buy land
1783,Ghana,154,100,74,medium,buy land
1784,Ghana,139,82,93,high,save for emergencies
1785,Nigeria,175,100,108,high,educate children
1786,Ghana,157,135,33,high,save for emergencies
1787,Kenya,179,158,56,low,start a small business
1788,Ghana,202,136,87,medium,start a small business
1789,Ghana,235,196,74,high,invest in farming
1790,Kenya,246,218,60,low,educate children
1791,Ghana,193,115,95,low,save for emergencies
1792,Kenya,224,134,121,low,buy land
1793,South Africa,152,91,65,low,save for emergencies
1794,Ghana,178,166,50,high,save for emergencies
1795,Nigeria,235,186,60,medium,invest in farming
1796,Ghana,116,71,51,low,educate children
1797,Kenya,75,68,21,high,start a small business
1798,Nigeria,73,52,61,low,invest in farming
1799,Kenya,73,40,77,low,start a small business
1800,Kenya,133,124,22,high,invest in farming
1801,South Africa,72,36,66,high,start a small business
1802,Kenya,112,101,33,high,invest in farming
1803,Nigeria,280,223,91,high,invest in farming
1804,Ghana,162,109,58,medium,buy land
1805,Ghana,124,83,42,medium,buy land
1806,South Africa,248,212,43,high,start a small business
1807,South Africa,276,138,157,medium,educate children
1808,Nigeria,125,72,91,low,save for emergencies
1809,Kenya,83,64,29,high,start a small business
1810,Uganda,83,66,32,high,invest in farming
1811,Nigeria,128,83,90,high,save for emergencies
1812,Uganda,222,168,100,high,save for emergencies
1813,Ghana,158,144,42,low,start a small business
1814,Kenya,37,33,36,high,start a small business
1815,South Africa,160,139,55,medium,educate children
1816,Uganda,226,203,66,medium,buy land
1817,Kenya,233,199,78,medium,educate children
1818,South Africa,102,89,16,medium,educate children
1819,South Africa,272,253,37,medium,educate children
1820,Nigeria,131,91,84,high,buy land
1821,Ghana,200,112,100,high,buy land
1822,South Africa,217,164,74,medium,invest in farming
1823,Ghana,81,61,62,low,invest in farming
1824,Ghana,240,191,56,high,start a small business
1825,Uganda,269,248,46,medium,buy land
1826,Ghana,106,80,34,high,start a small business
1827,South Africa,49,42,54,medium,buy land
1828,Ghana,68,52,27,high,start a small business
1829,Kenya,236,212,37,medium,save for emergencies
1830,Uganda,296,189,133,low,invest in farming
1831,Nigeria,40,25,48,medium,start a small business
1832,Uganda,259,241,59,medium,educate children
1833,Uganda,249,188,95,low,invest in farming
1834,Nigeria,261,201,106,low,start a small business
1835,South Africa,292,156,174,high,educate children
1836,Nigeria,183,102,123,low,start a small business
1837,Kenya,80,63,32,high,start a small business
1838,Nigeria,298,237,64,medium,invest in farming
1839,Nigeria,104,83,69,medium,educate children
1840,Kenya,36,31,15,high,save for emergencies
1841,Uganda,244,166,100,high,save for emergencies
1842,Kenya,57,38,65,low,buy land
1843,Uganda,55,51,32,medium,educate children
1844,Ghana,193,109,97,low,educate children
1845,Kenya,64,59,21,low,invest in farming
1846,South Africa,237,147,118,low,buy land
1847,Ghana,202,179,68,high,buy land
1848,Nigeria,246,173,110,high,buy land
1849,South Africa,135,125,56,low,educate children
1850,Nigeria,210,168,79,low,save for emergencies
1851,Ghana,116,82,75,high,start a small business
1852,Ghana,36,23,29,low,save for emergencies
1853,Ghana,239,159,89,medium,buy land
1854,South Africa,167,139,34,medium,save for emergencies
1855,Ghana,259,219,72,medium,invest in farming
1856,Nigeria,30,26,37,high,invest in farming
1857,Ghana,33,16,20,high,start a small business
1858,South Africa,247,126,121,high,save for emergencies
1859,Uganda,100,79,70,high,invest in farming
1860,South Africa,218,143,82,low,invest in farming
1861,Kenya,282,164,136,low,save for emergencies
1862,Kenya,273,258,57,medium,educate children
1863,Nigeria,61,43,35,low,educate children
1864,South Africa,185,120,80,high,educate children
1865,South Africa,76,68,11,high,educate children
1866,South Africa,46,29,64,high,start a small business
1867,Ghana,68,42,29,high,invest in farming
1868,Nigeria,59,50,19,medium,buy land
1869,Ghana,95,58,66,high,save for emergencies
1870,Kenya,47,43,10,medium,buy land
1871,South Africa,282,141,166,high,educate children
1872,Nigeria,116,83,77,high,save for emergencies
1873,Uganda,99,92,14,medium,invest in farming
1874,Kenya,181,108,109,medium,invest in farming
1875,Nigeria,124,98,55,medium,save for emergencies
1876,Ghana,278,180,130,low,start a small business
1877,South Africa,258,140,147,high,educate children
1878,Ghana,184,130,62,low,start a small business
1879,Nigeria,275,157,129,medium,educate children
1880,Kenya,276,166,142,high,save for emergencies
1881,Ghana,264,193,85,low,educate children
1882,Nigeria,287,259,71,medium,buy land
1883,South Africa,288,251,67,medium,educate children
1884,Nigeria,40,23,34,medium,invest in farming
1885,Uganda,225,209,44,high,educate children
1886,Uganda,51,26,68,medium,start a small business
1887,Uganda,163,122,65,high,start a small business
1888,Uganda,214,191,38,medium,buy land
1889,Nigeria,196,125,102,low,invest in farming
1890,Uganda,249,174,123,medium,educate children
1891,Nigeria,294,188,137,low,invest in farming
1892,South Africa,280,178,116,low,invest in farming
1893,Ghana,152,78,92,medium,invest in farming
1894,Kenya,295,238,85,low,save for emergencies
1895,Ghana,64,37,38,low,buy land
1896,South Africa,140,107,45,low,start a small business
1897,South Africa,176,154,29,medium,educate children
1898,Nigeria,37,32,8,high,buy land
1899,South Africa,208,188,22,low,save for emergencies
1900,Ghana,74,44,52,medium,start a small business
1901,Nigeria,45,34,13,high,invest in farming
1902,Ghana,38,32,18,low,save for emergencies
1903,Ghana,44,28,53,high,educate children
1904,South Africa,255,167,109,low,start a small business
1905,Uganda,142,107,78,medium,invest in farming
1906,Ghana,30,24,48,low,buy land
1907,Nigeria,237,189,96,high,save for emergencies
